id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
20110419	58625,tt1707687,0.30628,0,0,Street Kings 2: Motor City,Ray Liotta|Linda Boston|Shawn Hatosy|Charlotte Ross|Clifton Powell,,Chris Fisher,,sequel,"Ray Liotta (Goodfellas) delivers an intense, electrifying performance in this explosive follow-up to the gritty urban crime thriller Street Kings. Liotta plays Detroit detective Marty Kingston, the leader of an undercover narcotics team, whose members are being systematically murdered one by one. To solve the brutal killings, Kingston joins forces with a cocky, young homicide detective. But neither of them is prepared for the shocking corruption their investigation will uncover â€” stunning secrets that will set both men on a violent collision course with betrayal and vengeance.",93,Crime|Drama|Thriller,,4/19/11,17,4.4,2011,0,0
20110414	56780,tt0480239,0.318142,15000000,4627375,Atlas Shrugged Part I,Taylor Schilling|Paul Johansson|Michael O'Keefe|Grant Bowler|Edi Gathegi,http://www.atlasshruggedpart1.com/,Paul Johansson,Who is John Galt?,recession|strike|coercion|business|trilogy,"A powerful railroad executive, Dagny Taggart, struggles to keep her business alive while society is crumbling around her. Based on the 1957 novel by Ayn Rand.",97,Drama|Thriller|Science Fiction|Mystery,Atlas Productions,4/14/11,37,4.8,2011,14540970.638872,4485768.26733671
20110414	50601,tt1486193,0.539108,20000000,17479,5 Days of War,Rupert Friend|Val Kilmer|Andy GarcÃ­a|Dean Cain|Emmanuelle Chriqui,,Renny Harlin,Their only weapon is the truth.,number in title|digit in title,"Inspired by the real events of the swift--but devastating--five-day war between Russia and Georgia in 2008, 5 Days of War centers around an American journalist (Rupert Friend) and his cameraman (Richard Coyle) caught in the combat zone during the first Russian airstrikes against Georgia. Rescuing Tatia (Emmanuelle Chriqui), a young Georgian schoolteacher separated from her family during the attack, the two reporters agree to help reunite her with her family in exchange for serving as their interpreter. As the three attempt to escape to safety, they witness--and document--the devastation from the full-scale crossfire and cold-blooded murder of innocent civilians.",113,War|Drama,Midnight Sun Pictures|Dispictures|Georgia International Films|Rex Media,4/14/11,29,5.9,2011,19387960.8518294,16944.1083864563
20110325	59726,tt1296899,0.103268,0,0,Wake Wood,Aidan Gillen|Eva Birthistle|Timothy Spall|Ella Connolly|Amelia Crowley,,David Keating,Beware Those You Love the Most,death of a child|grief|pagan,The parents of a girl who was killed by a savage dog are granted the opportunity to spend three days with their deceased daughter.,90,Drama|Horror|Thriller|Foreign,Hammer Film Productions|Radio TelÃ©fis Ã‰ireann|Bord Scannan na hEireann / Irish Film Board|Vertigo Films|Fantastic Films,3/25/11,15,6.3,2011,0,0
20110318	66607,tt0461336,0.16468,0,0,Salvando al Soldado Perez,JoaquÃ­n Cosio|Gerardo Taracena|Jaime Camil|Miguel Rodarte|JesÃºs Ochoa,http://www.privateperez.com/,Beto GÃ³mez,,,"La vida ha llevado a JuliÃ¡n PÃ©rez por caminos equivocados, pero el destino le presentarÃ¡ a este hombre la oportunidad de encontrar su redenciÃ³n cuando es enviado a la misiÃ³n mÃ¡s peligrosa y noble de toda su vida, una misiÃ³n ordenada por la Ãºnica autoridad que todavÃ­a respeta, su madre, DoÃ±a Elvira. JuliÃ¡n debe viajar hasta el otro extremo del mundo, a un lugar llamado Irak, a traer de vuelta vivo, a su hermano menor el soldado de infanterÃ­a Juan PÃ©rez. Con la promesa hecha, JuliÃ¡n PÃ©rez regresa a su natal Sinaloa donde reclutarÃ¡ a un comando de elite, destinado a cumplir una misiÃ³n suicida: viajar a Irak y salvar al soldado PÃ©rez.",105,Action|Comedy|Foreign,,3/18/11,14,6,2011,0,0
20110318	56401,tt1613062,0.352084,4000000,253899,The Music Never Stopped,J.K. Simmons|Lou Taylor Pucci|Julia Ormond|Cara Seymour|MÃ­a Maestro,http://themusicneverstopped-movie.com/,Jim Kohlberg,"No matter how lost you are, music can bring you home.",independent film,"Tale of a father who struggles to bond with his estranged son Gabriel, after Gabriel suffers from a brain tumor that prevents him from forming new memories. With Gabriel unable to shed the beliefs and interests that caused their physical and emotional distance, Henry must learn to embrace his son's choices and try to connect with him through music",105,Drama,Mr. Tamborine Man|Essential Pictures,3/18/11,31,7.3,2011,3877592.17036588,246129.193615932
20110313	82620,tt1860355,0.122543,0,0,Undefeated,O.C. Brown|Bill Courtney|Chavis Daniels|Montrail 'Money' Brown ,http://weinsteinco.com/sites/undefeated/,Daniel Lindsay|T.J. Martin,Character will be revealed.,underdog|american football|american football coach|sport,"Set against the backdrop of a high school football season, Dan Lindsay and T.J. Martinâ€™s documentary UNDEFEATED is an intimate chronicle of three underprivileged student-athletes from inner-city Memphis and the volunteer coach trying to help them beat the odds on and off the field.  For players and coaches alike, the season will be not only about winning games â€” it will be about how they grapple with the unforeseeable events that are part of football and part of life.",113,Documentary,,3/13/11,11,7.8,2011,0,0
20110311	38684,tt1229822,0.679469,0,34710627,Jane Eyre,Mia Wasikowska|Jamie Bell|Michael Fassbender|Judi Dench|Su Elliott,http://janeeyrethemovie.com/,Cary Fukunaga,She sought refuge... and found a place haunted by secrets.,smoking|man-woman relation|painting|friendship|prayer,"After a bleak childhood, Jane Eyre goes out into the world to become a governess. As she lives happily in her new position at Thornfield Hall, she meet the dark, cold, and abrupt master of the house, Mr. Rochester. Jane and her employer grow close in friendship and she soon finds herself falling in love with him. Happiness seems to have found Jane at last, but could Mr. Rochester's terrible secret be about to destroy it forever?",120,Drama|Romance,BBC Films|Ruby Films,3/11/11,225,6.9,2011,0,33648413.8709227
20110308	44943,tt1217613,1.19533,70000000,202466756,Battle: Los Angeles,Aaron Eckhart|RamÃ³n RodrÃ­guez|Will Rothhaar|Cory Hardrict|Jim Parrack,http://www.battlela.com,Jonathan Liebesman,It's not war. It's survival.,saving the world|hero|marine corps|chaos|retirement,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",116,Action|Science Fiction,Columbia Pictures|Original Film|Relativity Media,3/8/11,1041,5.5,2011,67857862.981403,196270876.956245
20110225	66164,tt1614456,0.383267,0,0,Little Deaths,Luke de Lacey|Holly Lucas|Siubhan Harrison|James Oliver Wheatley|Jodie Jameson,,Sean Hogan|Andrew Parkinson|Simon Rumley,Experimentation...Revenge...All Part of Life's Twisted Games...,sex|tramp|sadistic sex|pet dogs,"Composed of three disturbingly sensual and terrifying short narratives, unified by the twin themes of sex and death.",90,Horror|Thriller|Romance,Almost Midnight Productions,2/25/11,12,3.5,2011,0,0
20110222	56590,tt1699114,0.985304,3500000,0,All Star Superman,James Denton|Christina Hendricks|Anthony LaPaglia|Ed Asner|Linda Cardellini,,Sam Liu,"The measure of a man lies not in what he says, but what he does.",dc comics|superhero|super powers|superhuman strength,"Lex Luthor enacts his plan to rid the world of Superman, once and for all. Succeeding with solar radiation poisoning, the Man of Steel is slowly dying. With what little times remains, the Last Son of Krypton must confront the revealing of his secret identity to Lois Lane and face Luthor in a final battle.",76,Animation|Action|Adventure,DC Comics|Warner Bros. Animation,2/22/11,66,6.9,2011,3392893.14907015,0
20110212	56831,tt1510938,0.585459,0,0,The Sunset Limited,Tommy Lee Jones|Samuel L. Jackson,http://www.hbo.com/movies/sunset-limited/index.html#,Tommy Lee Jones,Nothing is ever black or white.,,"Based on the play of the same name by Pulitzer Prize Winner Cormac McCarthy, this searing two-character drama mixes humor and pathos while examining the relationship between strangers who are brought together by desperate circumstances. Set in a New York tenement apartment, the story focuses on two very different men - a deeply religious black ex-con who thwarts the suicide attempt of an asocial white college professor who tried to throw himself in front of an oncoming subway train, 'The Sunset Limited.' As the one attempts to connect on a rational, spiritual and emotional level, the other remains steadfast in his hard-earned despair. Locked in a philosophical debate, both passionately defend their personal credos and try to convert the other.",90,Drama,The Javelina Film Company|HBO Films,2/12/11,45,7,2011,0,0
20110211	54557,tt1663187,0.233072,0,0,The Chaperone,Paul Michael LÃ©vesque|Kevin Corrigan|JosÃ© ZÃºÃ±iga|Kevin Rankin|Ariel Winter,,Stephen Herek,Her dad did time... Now he wants quality time.,,"An ex-con on the run from his criminal past, hides out from those he ratted on by chaperoning a field trip to New Orleans.",103,Comedy|Family|Action,WWE Studios|Snowfall Films,2/11/11,18,5.7,2011,0,0
20110210	81232,tt1629443,0.562704,0,0,Foster,Toni Collette|Ioan Gruffudd|Maurice Cole|Richard E. Grant|Anne Reid,http://www.serendipity-films.com/blog/past-projects/foster-feature/,Jonathan Newman,A family opens its door to a miracle.,,"Some years after their son is killed, a married couple decide to adopt a child. One day a 7-year-old boy, Eli, unexpectedly arrives on their doorstep and things take a strange turn.",90,Comedy|Drama|Family,Kintop Pictures|Reliance Big Pictures|StarLight Films,2/10/11,11,6.9,2011,0,0
20110128	64853,tt1515199,0.040279,0,0,Fertile Ground,Leisha Hailey|Jami Bassman |Stephanie Brown|Kailah Combs|Ingrid Coree,,Adam Gierasch,From Cradle To Grave.,possession,"Emily and Nate Weaver leave the city for the rural comfort of Nateâ€™s ancestral home in the country. Once there, Emily is plagued by horrifying visions and haunted by the ghosts inhabiting their isolated new home. When Nateâ€™s behavior undergoes a strange and fearful metamorphosis, Emily fears she might be the latest target in a murderous tradition.",95,Horror,After Dark Films,1/28/11,13,4,2011,0,0
20110124	51996,tt1512240,0.17304,0,790421,Thin Ice,Greg Kinnear|Lea Thompson|Billy Crudup|Alan Arkin|Scott Crouch,,Jill Sprecher,"Greetings from Kenosha, WI! Where Ordinary Folks Can Make a Killing",cold|independent film|salesman|woman director,A salesman's search for a rare musical instrument sets off a series of dramatic consequences.,93,Crime|Drama,ATO Pictures|Werc Werk Works,1/24/11,20,5.9,2011,0,766232.570223194
20110122	86812,tt1748207,0.486641,0,0,Sound of My Voice,Brit Marling|Christopher Denham|Nicole Vicius|Davenia McFadden|Kandice Stroh,,Zal Batmanglij,,journalist|independent film|hand clapping game|cult leader,A journalist and his girlfriend get pulled in while they investigate a cult whose leader claims to be from the future.,85,Science Fiction|Drama|Mystery,Skyscraper Films,1/22/11,46,5.7,2011,0,0
20110110	64690,tt0780504,5.903353,15000000,76175166,Drive,Ryan Gosling|Carey Mulligan|Christina Hendricks|Albert Brooks|Bryan Cranston,,Nicolas Winding Refn,There are no clean getaways.,drowning|stuntman|blood splatter|extreme violence|violence,"A mysterious Hollywood stuntman who moonlights as a getaway driver seems to be trying to escape his shady past â€“ until he falls for his neighbor, whose husband is in prison and who's looking after her child alone.",100,Drama|Action|Thriller|Crime,Bold Films|Marc Platt Productions|Odd Lot Entertainment|FilmDistrict|Motel Movies,1/10/11,2347,7.3,2011,14540970.638872,73844056.8144804
20110101	91333,tt1839591,0.476179,0,0,Recoil,Danny Trejo|Serinda Swan|Steve Austin|Lochlyn Munro|Noel Gugliemi,,Terry Miles,,,"A cop turns vigilante after his family is murdered, exacting vengeance on the killers - and then on all criminals who have slipped through the system.",94,Action,"NGN Productions|Nasser Group, North|Caliber Media Company",1/1/11,21,5,2011,0,0
20101227	46705,tt1120985,1.271367,1000000,12355734,Blue Valentine,Ryan Gosling|Michelle Williams|Mike Vogel|John Doman|Faith Wladyka,http://www.bluevalentinemovie.com/,Derek Cianfrance,Nobody Baby But You And Me,dancing|nurse|depression|classroom|bridge,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",112,Drama|Romance,Hunting Lane Films|Silverwood Films|Incentive Filmed Entertainment|Chrysler Corporation|Shade Pictures,12/27/10,530,6.9,2010,1000000,12355734
20101213	54559,tt1830748,0.308417,0,0,Minions: Orientation Day,Pierre Coffin|Rob Huebel,,Kyle Balda|Samuel Tourneux,,,"With so many jobs to choose from, the Minions have to make serious decisions after watching an 'Initiation Video'. What could go wrong?!",4,Animation|Comedy|Family,Universal Pictures|Illumination Entertainment,12/13/10,79,7,2010,0,0
20101124	50337,tt1782440,0.416714,0,0,Firebreather,Dana Delany|Jesse Head|Dante Basco|Grey Griffin|Reed Diamond,,Peter Chung,"Forged in Darkness, Born in Flames",,"Firebreather is a CGI animated made-for-TV film, based on the eponymous comic book series. It's not easy being a teen like Duncan. His mom wants him to pay more attention to his homework, while his dad - a 120-foot-tall monster known as a Kaiju - wants him to become the next King of All Monsters. When these worlds collide, Duncan must use his human wits and his Kaiju powers - including super strength, agility and the ability to breathe fire - to protect his family and friends from a giant monster rampage.",90,Adventure|Fantasy|Animation|Action|Thriller,Cartoon Network Studios,11/24/10,19,6,2010,0,0
20101123	41283,tt1433108,0.878074,24000000,23081726,Faster,Dwayne Johnson|Billy Bob Thornton|Maggie Grace|Carla Gugino|Tom Berenger,http://www.fasterthemovie.com/,"George Tillman, Jr.",Slow Justice is no Justice,,"Driver (Dwayne Johnson) has spent the last 10 years in prison planning revenge for the murder of his brother. Now that Driver is free to carry out his deadly plan only two men stand in his way- Billy Bob Thornton plays a veteran cop and Oliver Jackson-Cohen, a crazy hitman. With those two close on his trail, Driver races to carry out his mission as the mystery surrounding his brothers murder deepens.",98,Crime|Drama|Action|Thriller,Castle Rock Entertainment|TriStar Pictures|State Street Pictures|CBS Films,11/23/10,360,6.2,2010,24000000,23081726
20101122	43347,tt0758752,1.365279,30000000,102820008,Love & Other Drugs,Jake Gyllenhaal|Anne Hathaway|Oliver Platt|Hank Azaria|Gabriel Macht,http://www.loveandotherdrugsthemovie.com/,Edward Zwick,Addicted to one-night stands or dependent on one another?,male nudity|female nudity|letter|love|viagra,"Maggie, an alluring free spirit who won't let anyone - or anything - tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serve him well with the ladies and in the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",112,Drama|Comedy|Romance,Bedford Falls Productions|Dune Entertainment|Regency Enterprises|Fox 2000 Pictures|Stuber Productions,11/22/10,756,6.5,2010,30000000,102820008
20101105	44115,tt1542344,2.440611,18000000,35692920,127 Hours,James Franco|Kate Mara|Amber Tamblyn|ClÃ©mence PoÃ©sy|Lizzy Caplan,,Danny Boyle,There is no force more powerful than the will to live.,mountains|despair|adventure|utah|alone,"127 Hours is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he is finally rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the two hikers he met before his accident. Will they be the last two people he ever had the chance to meet?",94,Adventure|Drama|Thriller,Fox Searchlight Pictures|Dune Entertainment|Darlow Smithson Productions|Warner Bros.|Cloud Eight Films,11/5/10,1645,6.9,2010,18000000,35692920
20101021	41439,tt1477076,1.134397,20000000,136150434,Saw 3D,Tobin Bell|Costas Mandylor|Betsy Russell|Cary Elwes|Sean Patrick Flanery,http://www.saw3dmovie.com,Kevin Greutert,The Traps Come Alive,survivor|self help guru|stabbed in the mouth|tricycle|prosthetic arm,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",90,Horror|Crime,Lionsgate|Twisted Pictures|Serendipity Productions,10/21/10,397,5.8,2010,20000000,136150434
20101015	45658,tt1531663,0.513857,5000000,2614773,Everything Must Go,Rebecca Hall|Will Ferrell|Glenn Howerton|Laura Dern|Christopher Jordan Wallace,http://www.everythingmustgo-themovie.com,Dan Rush,Lost is a good place to find yourself,alcohol|arizona|beer|playboy|independent film,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",97,Comedy|Drama|Romance,Birdsong Pictures|IM Global,10/15/10,111,5.8,2010,5000000,2614773
20101008	70925,tt1438216,0.187445,0,0,Oranges and Sunshine,Emily Watson|Hugo Weaving|David Wenham|Tara Morice|Aisling Loftus,,Jim Loach,,based on true story,"Oranges and Sunshine tells the story of Margaret Humphreys, a social worker from Nottingham, who uncovered one of the most significant social scandals in recent times: the forced migration of children from the United Kingdom. Almost singlehandedly, against overwhelming odds and with little regard for her own well-being, Margaret reunited thousands of families, brought authorities to account and worldwide attention to an extraordinary miscarriage of justice. She discovered a secret that the British government had kept hidden for years: one hundred and thirty thousand children in care had been sent abroad to commonwealth countries, mainly Australia. Children as young as four had been told that their parents were dead, and been sent to children's homes on the other side of the world. Many were subjected to appalling abuse. They were promised oranges and sunshine, they got hard labour and life in institutions.",100,Drama,Sixteen Films|See Saw Films,10/8/10,15,6,2010,0,0
20101006	57018,tt1600701,0.204591,0,0,Captifs,ZoÃ© FÃ©lix|AriÃ© Elmaleh|Ivan Franek|Igor Skreblin|Philippe Krhajac,http://www.bacfilms.com/site/captifs/,Yann Gozlan,,,"Somewhere in Eastern Europe. Carole is a young nurse with a humanitarian aid group that has reached the end of its mission. But just then, the young woman and her two colleagues are kidnapped by strangers for mysterious reasons. Held captive, cared for and kept alive in an oppressive and sinister setting, the three prisoners soon discover with horror what their kidnappers truly have in store for them.",84,Horror|Thriller,BAC Films,10/6/10,16,5.5,2010,0,0
20100928	46718,tt1663633,0.0506,0,0,DC Showcase: Green Arrow,Neal McDonough|Malcolm McDowell|Grey Griffin|Ariel Winter|Steve Blum,,Joaquim Dos Santos,,dc comics|showcase|green arrow,"At an airport, the Emerald Archer must protect a young princess from assassins.",11,Animation|Adventure,DC Comics|Warner Bros. Animation,9/28/10,19,7.3,2010,0,0
20100915	23168,tt0840361,1.614028,37000000,154026136,The Town,Ben Affleck|Rebecca Hall|Jeremy Renner|Jon Hamm|Blake Lively,http://thetownmovie.warnerbros.com/,Ben Affleck,Welcome to the bank robbery capital of America.,money laundering|ambulance|boston|massachusetts|bank manager,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her â€“ but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",125,Crime|Drama|Thriller,Legendary Pictures|GK Films|Thunder Road Pictures|Warner Bros.,9/15/10,930,6.9,2010,37000000,154026136
20100911	55347,tt1532503,0.802711,3200000,5332926,Beginners,Ewan McGregor|Christopher Plummer|MÃ©lanie Laurent|Goran Visnjic|Kai Lennox,http://focusfeatures.com/beginners,Mike Mills,"When it comes to relationships, weâ€™re all beginners.",gay|loss of mother|secret|coming out|loss of father,"A young man is rocked by two announcements from his elderly father: that he has terminal cancer, and that he has a young male lover.",105,Drama|Romance|Comedy,Olympus Pictures,9/11/10,204,6.8,2010,3200000,5332926
20100910	59468,tt1441912,0.826116,0,4430765,The Way,Martin Sheen|Emilio Estevez|Deborah Kara Unger|James Nesbitt|Yorick van Wageningen,http://www.theway-themovie.com/,Emilio Estevez,You don't choose a life. You live one.,france|father-son relationship|spain|pilgrimage|road trip,"When his son dies while hiking the famed Camino de Santiago pilgrimage route in the Pyrenees, Tom flies to France to claim the remains. Looking for insights into his estranged childâ€™s life, he decides to complete the 500-mile mountain trek to Spain. Tom soon joins up with other travelers and realizes theyâ€™re all searching for something.",128,Adventure|Comedy|Drama,Elixir Films|Filmax Entertainment,9/10/10,93,7.2,2010,0,4430765
20100910	43939,tt1356864,0.218552,0,0,I'm Still Here,Joaquin Phoenix|Sean Combs|Casey Affleck|Antony Langdon|Mos Def,http://www.imstillheremovie.com/,Casey Affleck,,duringcreditsstinger,"I'm Still Here is a portrayal of a tumultuous year in the life of actor Joaquin Phoenix. With remarkable access, the documentary follows the Oscar-nominee as he announces his retirement from a successful film career in the fall of 2008 and sets off to reinvent himself as a hip-hop musician. The film is a portrait of an artist at a crossroads and explores notions of courage and creative reinvention, as well as the ramifications of a life spent in the public eye.",107,Music|Comedy|Drama,They Are Going To Kill Us Productions,9/10/10,49,6.2,2010,0,0
20100818	40264,tt1666186,1.004446,20000000,80547866,Vampires Suck,Chris Riggi|Matt Lanter|Jenn Proske|Ken Jeong|Bradley Dodds,http://www.dancingwerewolves.com/,Jason Friedberg|Aaron Seltzer,Some sagas just won't die.,vampire|high school|prom|spoof|horror spoof,"Becca, an anxious, non-vampire teen is torn between two boys. Before she can choose, Becca must get around her controlling father, who embarrasses Becca by treating her like a child. Meanwhile, Becca's friends contend with their own romantic issues - all of which collide at the prom.",82,Horror|Comedy,20th Century Fox|Regency Enterprises,8/18/10,177,4.3,2010,20000000,80547866
20100730	40720,tt1407084,0.12869,0,0,Twelve,Chace Crawford|Rory Culkin|Emma Roberts|Ellen Barkin|Philip Ettinger,,Joel Schumacher,No one needs anything here. It's all about want.,drug dealer|murder,"A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder, which sees his best friend arrested for the crime.",93,Thriller|Drama|Action|Crime,Gaumont|Original Media|Artina Films|Radar Pictures|Hannover House,7/30/10,56,5.9,2010,0,0
20100703	34851,tt1424381,1.888263,40000000,126248813,Predators,Topher Grace|Alice Braga|Laurence Fishburne|Adrien Brody|Danny Trejo,,NimrÃ³d Antal,Fear is Reborn,hunter|predator|yakuza|hunting human beings|alien life-form,"A mercenary named Royce reluctantly leads a motley crew of warriors who soon come to realize they've been captured and deposited on an alien planet by an unknown nemesis. With the exception of a peculiar physician, they are all cold-blooded killers, convicts, death squad members...hunters who have now become the hunted.",107,Action|Science Fiction|Adventure|Thriller,Twentieth Century Fox Film Corporation|Davis Entertainment|Dune Entertainment III|Troublemaker Studios,7/3/10,722,5.8,2010,40000000,126248813
20100702	40777,tt1667838,0.050481,0,0,I Hate Luv Storys,Imran Khan|Sonam Kapoor|Sammir Dattani|Samir Soni|Aseem Tiwari,,Punit Malhotra,,love triangle|punjabi|new zealand|india|mumbai,"'I hate luv storys' is the maxim Jay lives by. But as an assistant director to Veer, the most famous romantic filmmaker of Indian Film Industry, Jay has little option but to live with larger than life, glossy, cinematic love on an everyday basis. Things only get worse when he is made to work under the new production designer on the filmâ€¦ Simran, with whom he shares the strangest first encounter! Simran loves luv storys; So much so that even her life has begun to resemble one. With her ideal job and the perfect boyfriend, Raj, she lives a blissful, dreamy life; One that is rudely interrupted by Jay's cynicism. The turmoil's of Jay and Simran's life, is ironically interweaved with the Luv Story that they are working onâ€¦",135,Drama|Comedy|Romance|Foreign,UTV Motion Pictures,7/2/10,27,6.6,2010,0,0
20100611	39013,tt1399683,0.659749,2000000,13831503,Winter's Bone,Jennifer Lawrence|John Hawkes|Kevin Breznahan|Dale Dickey|Garret Dillahunt,http://www.wintersbonemovie.com/,Debra Granik,Talking Just Causes Witnesses,father|court|bail|drug trade|girl,"17 year-old Ree Dolly sets out to track down her father, who put their house up for his bail bond and then disappeared. If she fails, Ree and her family will be turned out into the Ozark woods. Challenging her outlaw kin's code of silence and risking her life, Ree hacks through the lies, evasions and threats offered up by her relatives and begins to piece together the truth.",100,Drama,Anonymous Content|Winter's Bone Productions,6/11/10,289,6.7,2010,2000000,13831503
20100610	38407,tt1092634,0.532098,50000000,0,Shanghai,Jeffrey Dean Morgan|John Cusack|David Morse|Ken Watanabe|Franka Potente,,Mikael HÃ¥fstrÃ¶m,,suspense,"An American man returns to a corrupt, Japanese-occupied Shanghai four months before Pearl Harbor and discovers his friend has been killed. While he unravels the mysteries of the death, he falls in love and discovers a much larger secret that his own government is hiding.",105,Drama|Mystery|Romance,"Living Films|Weinstein Company, The|Phoenix Pictures|TWC Asian Film Fund",6/10/10,28,6,2010,50000000,0
20100608	38570,tt1498870,0.448095,0,0,The 41â€“Yearâ€“Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Bryan Callen|Noureen DeWulf|Mircea Monroe|Stephen Kramer Glickman|Austin Michael Scott,,Craig Moss,,duringcreditsstinger,"Follows Andy, who needs to hook up with a hottie, pronto, because he hasn't had sex in... well, forever - and his luck isn't the only thing that's hard. His equally horny teenage roommates also need it superbad, and with the help of their nerdy pal, McAnalovin' and his fake I.D., they may tap more than just a keg.",82,Comedy,Silver Nitrate Films,6/8/10,17,3.2,2010,0,0
20100606	44244,tt1252380,0.6538,0,0,Camp Rock 2: The Final Jam,Demi Lovato|Alyson Stoner|Joe Jonas|Nick Jonas|Kevin Jonas,http://tv.disney.go.com/disneychannel/originalmovies/camprock2/,Paul Hoen,,summer camp|camp|singing|singing competition,"Mitchie can't wait to go back to Camp Rock and spend the summer making new music with her friends and superstar Shane Gray. But the slick new camp across the lake, Camp Star, has drummed up some serious competition â€” featuring newcomers Luke (Matthew ""Mdot"" Finley) and Dana (Chloe Bridges). In a sensational battle of the bands, with Camp Rock's future at stake, will Camp Star's flashy production and over-the-top antics win out, or will Camp Rockers prove that music, teamwork, and spirit are what truly matter?",97,TV Movie|Drama|Comedy|Music|Romance,Walt Disney Television|Alan Sacks Productions,6/6/10,185,5.5,2010,0,0
20100604	37821,tt1103153,0.997641,75000000,98159963,Killers,Katherine Heigl|Ashton Kutcher|Tom Selleck|Catherine O'Hara|Alex Borstein,http://killersfilm.com/,Robert Luketic,Perfect wife. Perfect target.,assassin,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",100,Action|Comedy|Thriller|Romance,Katalyst Films|Lionsgate|Aversano Films,6/4/10,530,5.7,2010,75000000,98159963
20100507	44737,tt1020938,0.205329,0,0,BÃ©bÃ©s,Bayar|Hattie|Bayar|Ponijao,http://babiesthemovie.com/,Thomas BalmÃ¨s,Everybody loves...,duringcreditsstinger,"Babies, also known as Baby(ies) and BÃ©bÃ©(s), is a 2009 French documentary film by Thomas BalmÃ¨s that follows four infants from birth to when they are one year old. The babies featured in the film are two from rural areas: Ponijao from Opuwo, Namibia, and Bayar from Bayanchandmani, Mongolia, as well as two from urban areas: Mari from Tokyo, Japan, and Hattie from San Francisco, USA.",79,Documentary,Studio Canal,5/7/10,36,7.2,2010,0,0
20100428	10138,tt1228705,5.70486,200000000,623933331,Iron Man 2,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Scarlett Johansson|Mickey Rourke,http://www.ironmanmovie.com/,Jon Favreau,"It's not the armor that makes the hero, but the man inside.",malibu|marvel comic|comic|superhero|revenge,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.",124,Adventure|Action|Science Fiction,Marvel Studios,4/28/10,4920,6.6,2010,200000000,623933331
20100418	39285,tt1493842,0.754526,0,0,Beauty & the Briefcase,Hilary Duff|Chris Carmack|Michael McMillian|Amanda Walsh|Kevin Kirkpatrick,,Gil Junger,Falling in love is a fulltime job,journalist|based on novel|undercover|dating|co-worker,A freelance writer looking for romance sells a story to Cosmopolitan magazine about finding love in the workplace and goes undercover at a Finance Company.,83,Romance|Comedy,Belladonna Productions|ABC Family|Von Zerneck Sertner Films|Lion Share Productions,4/18/10,90,5.1,2010,0,0
20100214	35221,tt1381505,0.216759,0,0,Father of Invention,Kevin Spacey|Camilla Belle|Heather Graham|Virginia Madsen|John Stamos,,Trent Cooper,Sometimes the best ideas are homegrown.,independent film|duringcreditsstinger,"Nearly a decade after a faulty product landed him in prison, an arrogant inventor is determined to restore his reputation and rebuild his fortune. But first, he has to convince his estranged daughter that he's worthy of a second chance.",93,Comedy|Drama,Horizon Pictures|K. JAM Media|Bridgegate FIlms|Pangea Media Group,2/14/10,23,4.9,2010,0,0
